county_fips_code,mcsa,flfpr_20to64,flfpr_20to64_6to17,flfpr_20to64_under6,flfpr_20to64_under6_6to17,pr_f,mhi_2018,one_race,one_race_a,one_race_b,one_race_h,one_race_i,one_race_other,one_race_w,two_races,hispanic,households,h_6to17_both_work,h_6to17_fwork,h_6to17_mwork,h_6to17_single_m
37097,117.13,70.88181818181819,75.37,66.74545454545455,66.3709090909091,9.8,56383.97818181818,98.56363636363636,2.018181818181818,12.227272727272727,0.03636363636363636,0.33636363636363636,2.0454545454545454,81.89090909090909,1.4363636363636363,6.718181818181818,60255.09090909091,12145,5513.272727272727,853.3636363636364,6116
37129,128.87800000000001,74.9090909090909,79.29636363636364,73.99090909090908,70.49909090909091,10.145454545454546,54336.148181818186,98.28181818181818,1.290909090909091,14.672727272727272,0.06363636363636364,0.36363636363636365,1.6181818181818182,80.2909090909091,1.7181818181818183,4.863636363636363,86772.45454545454,10440.545454545454,4501.909090909091,791.4545454545455,7654.272727272727
37049,117.27,68.58181818181818,80.83818181818182,65.85454545454546,52.53727272727273,11.345454545454546,51284.89363636364,97.35454545454546,2.109090909090909,22.027272727272727,0.09090909090909091,0.4818181818181818,2.381818181818182,70.27272727272727,2.6454545454545455,6.0636363636363635,40219.818181818184,5222,2451.2727272727275,366.09090909090907,4250.181818181818
37147,114.466,75.06363636363636,85.44363636363636,77.42727272727272,79.04545454545455,15.454545454545455,44282.15090909091,97.83636363636364,1.5636363636363637,34.018181818181816,0,0.2636363636363636,2.690909090909091,59.31818181818182,2.1636363636363636,5.4363636363636365,66123.90909090909,9692.90909090909,2587.818181818182,699.4545454545455,8413
37035,95.91199999999999,72.33636363636364,75.21090909090908,70.77272727272727,66.41636363636364,10.309090909090909,49187.36090909091,98.01818181818182,3.5090909090909093,8.345454545454546,0,0.34545454545454546,4.5636363636363635,81.21818181818182,1.981818181818182,8.709090909090909,59277.27272727273,11120.727272727272,4155.181818181818,605.4545454545455,5486.545454545455
37199,92.348,62.167272727272724,69.63090909090909,67.01727272727273,65.4009090909091,15.049090909090909,40755.04727272727,99.08363636363636,0.29363636363636364,0.8290909090909091,0.08090909090909092,0.43454545454545457,0.6463636363636364,96.78,0.9163636363636364,4.738181818181818,7359.636363636364,933.2727272727273,766.7272727272727,100,388.6363636363636
37093,108.63,65.98181818181818,76.42727272727272,57.127272727272725,63.46545454545454,16.618181818181817,48165.92636363636,95.06363636363636,1.2636363636363637,33.72727272727273,0.1272727272727273,8.381818181818181,4.836363636363637,46.69090909090909,4.9363636363636365,12.118181818181819,15723.90909090909,3122.4545454545455,1423.2727272727273,322.3636363636364,2764.5454545454545
37047,92.696,64.39090909090909,76.71363636363637,66.32727272727273,59.224545454545456,17.5,38150.66818181818,98.81818181818181,0.26363636363636367,30.59090909090909,0,3.309090909090909,2.9,61.71818181818182,1.1818181818181819,4.4363636363636365,21777.909090909092,2935.7272727272725,962,377.90909090909093,2746.6363636363635
37141,108.988,68.69090909090909,78.08636363636363,65.03636363636363,60.51,11.436363636363637,49492.446363636365,98.41818181818182,0.4272727272727273,17.672727272727272,0.03636363636363636,0.39090909090909093,3.4181818181818184,76.51818181818182,1.5818181818181818,6.081818181818182,20300.909090909092,3579.5454545454545,1160.8181818181818,265.27272727272725,1822.2727272727273
37177,93.922,71.9009090909091,58.50545454545455,75.10454545454546,98.12181818181818,17.58818181818182,35655.725454545456,98.26272727272728,1.230909090909091,35.06636363636364,0.1,1.079090909090909,3.2445454545454546,57.52181818181818,1.7372727272727273,7.065454545454545,1583.5454545454545,99,87.27272727272728,4.7272727272727275,148.45454545454547
