id,property_type,prop_type_simp,number_of_reviews,review_scores_rating,cleaning_fee,price,price_3_nights
23547324,Condominium,Condominium,190,94,49,155,514
23548445,Apartment,Apartment,101,94,70,107,391
23548803,Apartment,Apartment,107,95,70,125,445
23564688,Townhouse,Townhouse,52,99,210,300,1110
23564765,Townhouse,Townhouse,57,99,185,250,935
23580839,Townhouse,Townhouse,54,95,10,150,460
23582563,Guest suite,Other,81,100,65,105,380
23583290,Bungalow,Other,15,99,160,450,1510
23583757,Condominium,Condominium,123,97,85,139,502
23588152,Condominium,Condominium,19,100,45,135,450
23589499,Loft,Other,215,96,49,89,316
23597203,Townhouse,Townhouse,50,98,150,249,897
23627435,Townhouse,Townhouse,96,100,15,45,150
23630620,Apartment,Apartment,158,95,40,99,337
23637392,Apartment,Apartment,39,85,95,99,392
23644187,Townhouse,Townhouse,67,99,50,99,347
23644374,House,House,40,98,125,340,1145
23646000,Townhouse,Townhouse,45,99,180,250,930
23651169,House,House,31,99,220,385,1375
23653165,Apartment,Apartment,99,97,80,149,527
23655356,Condominium,Condominium,3,93,307,110,637
23663548,Bungalow,Other,46,96,150,170,660
23671325,Guest suite,Other,20,97,50,62,236
23671599,Cottage,Other,44,96,120,70,330
23676283,House,House,54,100,150,287,1011
23676893,House,House,20,95,41,55,206
23682440,House,House,63,93,50,150,500
23682916,House,House,98,99,20,75,245
23685612,House,House,4,100,131,295,1016
23685706,House,House,125,99,0,55,165
23685798,Apartment,Apartment,98,96,70,125,445
23686446,Bungalow,Other,4,100,200,75,425
23698513,House,House,44,93,110,99,407
23709849,House,House,62,100,235,600,2035
23714996,House,House,38,100,175,130,565
23715926,Apartment,Apartment,90,87,10,65,205
23717357,Apartment,Apartment,11,100,150,125,525
23721483,Apartment,Apartment,105,94,85,89,352
23729987,House,House,4,100,45,76,273
23732589,Apartment,Apartment,111,96,70,94,352
23747597,Apartment,Apartment,39,100,75,77,306
23750850,Apartment,Apartment,122,92,65,74,287
23751581,House,House,2,100,300,675,2325
23752202,Guest suite,Other,64,100,100,100,400
23753379,House,House,66,88,80,169,587
23754741,House,House,81,97,85,117,436
23765252,Apartment,Apartment,113,96,65,69,272
23765311,House,House,10,94,35,185,590
23765668,House,House,38,97,224,89,491
23768667,Condominium,Condominium,73,95,65,75,290
23781678,House,House,110,96,100,68,304
23782255,House,House,92,94,100,62,286
23782829,Apartment,Apartment,94,93,70,86,328
23783053,Apartment,Apartment,105,96,70,79,307
23784528,Villa,Other,12,98,30,49,177
23805284,House,House,36,99,30,70,240
23806420,Townhouse,Townhouse,51,93,215,425,1490
23819465,Condominium,Condominium,9,100,250,989,3217
23822414,Guest suite,Other,116,99,40,70,250
23824127,Condominium,Condominium,3,100,139,75,364
23824968,House,House,198,99,0,45,135
23825123,House,House,49,96,150,299,1047
23825765,House,House,103,98,75,135,480
23850251,House,House,63,100,20,50,170
23858968,House,House,43,99,125,75,350
23859974,Cottage,Other,146,100,59,99,356
23870707,Guesthouse,Other,106,100,40,125,415
23872834,Condominium,Condominium,107,99,130,320,1090
23872880,Condominium,Condominium,100,97,105,230,795
23874740,House,House,23,98,75,145,510
23881590,Condominium,Condominium,12,100,95,85,350
23895572,Condominium,Condominium,39,96,70,125,445
23897595,Condominium,Condominium,72,96,65,75,290
23910107,Condominium,Condominium,7,83,194,108,518
23913641,Apartment,Apartment,57,96,125,250,875
23915909,Guesthouse,Other,19,100,100,199,697
23921618,Apartment,Apartment,41,97,149,348,1193
23922465,House,House,27,95,30,72,246
23922522,Guest suite,Other,180,97,12,65,207
23955048,House,House,12,97,30,125,405
23955586,Condominium,Condominium,216,99,50,82,296
23962122,House,House,84,99,200,340,1220
23975379,Apartment,Apartment,55,99,150,199,747
23976886,Townhouse,Townhouse,75,92,100,145,535
23980569,Apartment,Apartment,72,92,105,135,510
23991504,House,House,1,100,175,90,445
24000632,Cottage,Other,137,100,60,100,360
24001784,Apartment,Apartment,9,98,5,110,335
24009969,House,House,30,99,169,249,916
24015847,Guest suite,Other,12,98,50,99,347
24015918,Guesthouse,Other,65,100,75,250,825
24021874,Apartment,Apartment,88,89,65,30,155
24035042,House,House,76,98,150,199,747
24037317,House,House,6,97,19,59,196
24038585,House,House,89,95,45,95,330
24043615,Apartment,Apartment,140,98,85,89,352
24043681,Apartment,Apartment,126,96,85,98,379
24054787,House,House,28,91,110,159,587
24058858,House,House,70,99,100,150,550
24060405,Condominium,Condominium,74,95,100,150,550
24063439,Guest suite,Other,23,97,75,117,426
24076005,House,House,43,95,100,115,445
24080943,House,House,7,100,75,225,750
